C,inner_balanced_macro,inner_p10,repeat,fold,model
0.003,0.4833939208939209,0.406970806970807,3,3,TG10_SHARED_RIDGE_BALANCED
3.0,0.7043789543789544,0.6107475857475857,3,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6367937617937618,0.5152097902097903,3,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.5945110445110445,0.4449217449217449,3,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5792156917156918,0.456943056943057,3,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5762926887926888,0.4324675324675325,3,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5399216524216525,0.41716117216117216,3,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5019124394124393,0.41332001332001334,3,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5406857031857032,0.5180303030303031,3,4,TG10_SHARED_RIDGE_BALANCED
0.01,0.523912198912199,0.5060780885780887,3,4,TG10_SHARED_RIDGE_BALANCED
0.1,0.5127414252414252,0.4969347319347319,3,4,TG10_SHARED_RIDGE_BALANCED
0.003,0.5004079254079254,0.4592482517482518,3,4,TG10_SHARED_RIDGE_BALANCED
1.0,0.48106893106893106,0.46898018648018647,3,4,TG10_SHARED_RIDGE_BALANCED
3.0,0.48106893106893106,0.46898018648018647,3,4,TG10_SHARED_RIDGE_BALANCED
